인물,대사,연출,
나비%0%0,...,0,0
이 승%0%0,...,0,0
나비%0%0,...,0,0
이 승%4%0,...,0,0
나비%4%0,먀옹\n<i>(필요한 것이 있으신가요?)</i>,0,0
이 승%0%2,(메뉴를 한참 조용히 바라보더니)\n...나비의 스페셜 음료.,0,0
나비%0%0,...먀.\n<i>(...아.)</i>,0,0
나비%4%0,(어색한 표정을 짓다가)\n<i>아. 네. 나비의 스페셜 음료는 -</i>,0,0
이 승%0%2,‘메뉴에 없는 주문이라도.\n바리스타 나비가 당신만을 위한 음료를 만들어 드립니다…’라...,0,0
나비%1%0,(조금 짜증 난 표정)\n<i>...네. 그렇습니다.</i>,0,0
이 승%0%1,그럼...음료부터 바로 말하지.\n감귤 주스...한 잔 부탁하지.,0,0
나비%4%0,(무슨 감귤주스를 위스키 주문하듯이...),0,0
나비%0%1,<i>감귤주스 하나 준비해드리겠습니다.</i>,0,0
나비%0%0,(이 승의 저승 컴퍼니 사원증을 보고선)\n…,0,0
나비%0%0,(왠지 미호 양이 저 남자에 대해서 이야기한 것 같은데...),0,0
나비%2%0,<i>(아무튼. 감귤 주스를 만들어볼까.)</i>,-2,0
