인물,대사,연출,
미호%5%0,(한 모금 마시더니.)\n어머. 나비씨. 이거...이거 너무 맛있는 거 아니예요?,0,0
나비%2%6,(자랑스러운 표정의 나비),0,0
나비%2%0,먀.<i>(즐겼다니 기쁘네요.)</i>,0,0
나비%0%0,…,0,0
나비%0%0,<i>누구나 과거에 지울 수 없는 큰 실수 혹은 잘못이 있어요.\n과거를 뉘우치고 달라졌다고 해도 여전히 편견을 가진 채 바라보죠.</i>,0,0
나비%0%0,<i>그렇게 되면 또 잔뜩 주늑 들게 되어버리죠.</i>,0,0
나비%5%0,<i>하지만 미호는 더 이상 그렇지 않잖아요?\n그러니까 어깨 펴고 살아요.</i>,0,0
미호%3%0,나비 씨...,0,0
나비%0%0,<i>그렇다고 자신의 과거를 잊으라는 건 절대 아니에요.</i>,0,0
나비%0%0,<i>그런 실수를 저질렀기에\n지금의 나아진 당신이 있는 거니까요.</i>,0,0
나비%0%0,<i>만일 그걸 잊어버린다면.\n자신의 일부를 잃어버리는 것과 다름이 없는 거예요.</i>,0,0
나비%2%0,<i>...하지만 미호씨는 오랫동안 인간을 안 잡아먹었잖아요.\n그러니 그런 걱정은 안해도 좋을 것 같군요.</i>,0,0
나비%0%0,<i>잘했어요. 그러니 조금도 움츠려 있지 말고\n자신이 달라졌다는 걸 동료들에게 보여줘요.</i>,0,0
나비%5%0,<i>잘그러다 보면 결국 그들도\n미호가 달라졌다는 걸 알게 될 거예요.</i>,0,0
미호%3%0,나비씨...(울먹),0,0
미호%5%0,나비씨는 생각 외로 무척이나 따뜻하네요! 완전 무뚝뚝이 인줄 알았더니!,0,1%2
나비%4%0,(어이없는 표정),0,0
미호%5%3,멋진 음료와 위로 고마워요!\n나중에 또 올게요 나비씨!,0,0
나비%0%3,왜옹~\n<i>(좋은 밤 되세요.)</i>,0,0
나비%2%1,미호씨가 기운 많이 차리신 것 같아서 기쁘네. ,-1,0
